label,condition,replicate
HYPO_RepA_126,DMSO_HYPO,1
HYPO_RepA_127C,MS023_15_HYPO,1
HYPO_RepA_127N,GSK_15_HYPO,1
HYPO_RepA_128C,MS023_90_HYPO,1
HYPO_RepA_128N,GSK_90_HYPO,1
HYPO_RepA_129C,MS023_180_HYPO,1
HYPO_RepA_129N,GSK_180_HYPO,1
HYPO_RepA_130C,MS023_48H_HYPO,1
HYPO_RepA_130N,GSK_48H_HYPO,1
HYPO_RepB_126,DMSO_HYPO,2
HYPO_RepB_127C,MS023_15_HYPO,2
HYPO_RepB_127N,GSK_15_HYPO,2
HYPO_RepB_128C,MS023_90_HYPO,2
HYPO_RepB_128N,GSK_90_HYPO,2
HYPO_RepB_129C,MS023_180_HYPO,2
HYPO_RepB_129N,GSK_180_HYPO,2
HYPO_RepB_130C,MS023_48H_HYPO,2
HYPO_RepB_130N,GSK_48H_HYPO,2
HYPO_RepC_126,DMSO_HYPO,3
HYPO_RepC_127C,MS023_15_HYPO,3
HYPO_RepC_127N,GSK_15_HYPO,3
HYPO_RepC_128C,MS023_90_HYPO,3
HYPO_RepC_128N,GSK_90_HYPO,3
HYPO_RepC_129C,MS023_180_HYPO,3
HYPO_RepC_129N,GSK_180_HYPO,3
HYPO_RepC_130C,MS023_48H_HYPO,3
HYPO_RepC_130N,GSK_48H_HYPO,3
NUC_RepA_126,DMSO_NUC,1
NUC_RepA_127C,MS023_15_NUC,1
NUC_RepA_127N,GSK_15_NUC,1
NUC_RepA_128C,MS023_90_NUC,1
NUC_RepA_128N,GSK_90_NUC,1
NUC_RepA_129C,MS023_180_NUC,1
NUC_RepA_129N,GSK_180_NUC,1
NUC_RepA_130C,MS023_48H_NUC,1
NUC_RepA_130N,GSK_48H_NUC,1
NUC_RepB_126,DMSO_NUC,2
NUC_RepB_127C,MS023_15_NUC,2
NUC_RepB_127N,GSK_15_NUC,2
NUC_RepB_128C,MS023_90_NUC,2
NUC_RepB_128N,GSK_90_NUC,2
NUC_RepB_129C,MS023_180_NUC,2
NUC_RepB_129N,GSK_180_NUC,2
NUC_RepB_130C,MS023_48H_NUC,2
NUC_RepB_130N,GSK_48H_NUC,2
NUC_RepC_126,DMSO_NUC,3
NUC_RepC_127C,MS023_15_NUC,3
NUC_RepC_127N,GSK_15_NUC,3
NUC_RepC_128C,MS023_90_NUC,3
NUC_RepC_128N,GSK_90_NUC,3
NUC_RepC_129C,MS023_180_NUC,3
NUC_RepC_129N,GSK_180_NUC,3
NUC_RepC_130C,MS023_48H_NUC,3
NUC_RepC_130N,GSK_48H_NUC,3
CHR_RepA_126,DMSO_CHR,1
CHR_RepA_127C,MS023_15_CHR,1
CHR_RepA_127N,GSK_15_CHR,1
CHR_RepA_128C,MS023_90_CHR,1
CHR_RepA_128N,GSK_90_CHR,1
CHR_RepA_129C,MS023_180_CHR,1
CHR_RepA_129N,GSK_180_CHR,1
CHR_RepA_130C,MS023_48H_CHR,1
CHR_RepA_130N,GSK_48H_CHR,1
CHR_RepB_126,DMSO_CHR,2
CHR_RepB_127C,MS023_15_CHR,2
CHR_RepB_127N,GSK_15_CHR,2
CHR_RepB_128C,MS023_90_CHR,2
CHR_RepB_128N,GSK_90_CHR,2
CHR_RepB_129C,MS023_180_CHR,2
CHR_RepB_129N,GSK_180_CHR,2
CHR_RepB_130C,MS023_48H_CHR,2
CHR_RepB_130N,GSK_48H_CHR,2
CHR_RepC_126,DMSO_CHR,3
CHR_RepC_127C,MS023_15_CHR,3
CHR_RepC_127N,GSK_15_CHR,3
CHR_RepC_128C,MS023_90_CHR,3
CHR_RepC_128N,GSK_90_CHR,3
CHR_RepC_129C,MS023_180_CHR,3
CHR_RepC_129N,GSK_180_CHR,3
CHR_RepC_130C,MS023_48H_CHR,3
CHR_RepC_130N,GSK_48H_CHR,3
